FacilityTypeMapID,FacilityID,FacilityTypeID,CreatedBy,CreatedDatetime,UpdatedBy,UpdatedDatetime,IsDeleted
119,112,101,101,2018-01-18 03:04:08.556712+05:30,101,2018-01-18 03:04:08.556712+05:30,f
120,112,103,101,2018-01-18 03:04:08.556712+05:30,101,2018-01-18 03:04:08.556712+05:30,t
121,113,101,101,2018-01-18 10:38:26.846802+05:30,101,2018-01-18 10:38:26.846802+05:30,f
122,113,103,101,2018-01-18 10:38:26.846802+05:30,101,2018-01-18 10:38:26.846802+05:30,t
123,114,101,101,2018-01-18 10:42:16.652147+05:30,101,2018-01-18 10:42:16.652147+05:30,f
124,114,103,101,2018-01-18 10:42:16.652147+05:30,101,2018-01-18 10:42:16.652147+05:30,t
125,115,101,101,2018-01-18 10:45:48.562617+05:30,101,2018-01-18 10:45:48.562617+05:30,f
126,115,103,101,2018-01-18 10:45:48.562617+05:30,101,2018-01-18 10:45:48.562617+05:30,t
127,116,103,101,2018-01-18 10:49:13.522974+05:30,101,2018-01-18 10:49:13.522974+05:30,f
129,118,103,101,2018-01-18 10:51:33.475418+05:30,101,2018-01-18 10:51:33.475418+05:30,f
130,119,102,101,2018-01-18 10:53:31.434997+05:30,101,2018-01-18 10:53:31.434997+05:30,f
131,119,103,101,2018-01-18 10:53:31.434997+05:30,101,2018-01-18 10:53:31.434997+05:30,t
157,135,103,101,2018-01-23 17:55:22.990556+05:30,101,2018-01-23 17:55:22.990556+05:30,t
155,134,103,101,2018-01-23 17:51:04.883033+05:30,101,2018-01-23 17:51:04.883033+05:30,t
158,136,102,101,2018-01-23 21:08:10.120332+05:30,101,2018-01-23 21:08:10.120332+05:30,f
111,106,103,101,2018-01-16 14:29:51.406202+05:30,101,2018-01-16 14:29:51.406202+05:30,f
136,123,102,101,2018-01-18 13:04:00.282315+05:30,101,2018-01-18 13:04:00.282315+05:30,f
137,123,103,101,2018-01-18 13:04:00.282315+05:30,101,2018-01-18 13:04:00.282315+05:30,t
148,130,103,101,2018-01-23 11:34:45.64105+05:30,101,2018-01-23 11:34:45.64105+05:30,t
159,136,103,101,2018-01-23 21:08:10.120332+05:30,101,2018-01-23 21:08:10.120332+05:30,t
154,134,101,101,2018-01-23 17:51:04.883033+05:30,101,2018-01-24 10:23:58.297084+05:30,t
145,128,103,101,2018-01-22 17:53:52.294935+05:30,101,2018-01-22 17:53:52.294935+05:30,t
143,127,103,101,2018-01-22 17:51:35.145881+05:30,101,2018-01-22 17:51:35.145881+05:30,t
142,127,101,101,2018-01-22 17:51:35.145881+05:30,101,2018-01-22 19:11:18.443612+05:30,t
144,128,102,101,2018-01-22 17:53:52.294935+05:30,101,2018-01-22 18:56:44.602897+05:30,t
146,129,103,101,2018-01-22 17:56:56.696081+05:30,101,2018-01-22 17:56:56.696081+05:30,t
134,121,103,101,2018-01-18 13:02:59.765458+05:30,101,2018-01-18 13:02:59.765458+05:30,t
147,130,101,101,2018-01-23 11:34:45.64105+05:30,101,2018-01-23 11:34:45.64105+05:30,f
152,132,103,101,2018-01-23 14:48:50.831032+05:30,101,2018-01-23 14:48:50.831032+05:30,t
150,131,103,101,2018-01-23 14:08:17.78154+05:30,101,2018-01-23 14:08:17.78154+05:30,t
141,126,103,101,2018-01-19 16:18:39.362678+05:30,101,2018-01-19 16:18:39.362678+05:30,t
140,126,101,101,2018-01-19 16:18:39.362678+05:30,101,2018-01-24 13:02:19.742372+05:30,t
162,138,103,101,2018-01-24 13:10:16.180168+05:30,101,2018-01-24 13:10:16.180168+05:30,t
168,142,103,101,2018-01-24 13:45:44.243363+05:30,101,2018-01-24 13:45:44.243363+05:30,t
164,139,103,101,2018-01-24 13:19:45.251987+05:30,101,2018-01-24 13:19:45.251987+05:30,t
170,143,103,101,2018-01-24 14:02:16.060052+05:30,101,2018-01-24 14:02:16.060052+05:30,t
165,140,103,101,2018-01-24 13:30:51.269718+05:30,101,2018-01-24 13:30:51.269718+05:30,t
163,139,102,101,2018-01-24 13:19:45.251987+05:30,101,2018-01-24 13:41:37.338084+05:30,t
161,138,101,101,2018-01-24 13:10:16.180168+05:30,101,2018-01-24 13:42:30.696736+05:30,t
171,144,103,101,2018-01-24 14:19:14.833889+05:30,101,2018-01-24 14:19:14.833889+05:30,t
173,146,103,101,2018-01-24 15:37:49.138213+05:30,101,2018-01-24 15:37:49.138213+05:30,t
175,147,103,101,2018-01-24 16:15:20.213998+05:30,101,2018-01-24 16:15:20.213998+05:30,t
138,124,103,101,2018-01-18 13:30:22.017935+05:30,101,2018-01-18 13:30:22.017935+05:30,f
115,108,103,101,2018-01-16 17:50:03.846171+05:30,101,2018-01-16 17:50:03.846171+05:30,t
167,141,103,101,2018-01-24 13:44:41.486156+05:30,101,2018-01-24 13:44:41.486156+05:30,t
174,147,102,101,2018-01-24 16:15:20.213998+05:30,101,2018-01-24 16:24:36.296845+05:30,t
176,148,103,101,2018-01-24 16:18:06.832345+05:30,101,2018-01-24 16:18:06.832345+05:30,t
172,145,103,101,2018-01-24 15:30:12.17433+05:30,101,2018-01-24 15:30:12.17433+05:30,t
177,149,103,101,2018-01-24 16:49:31.971005+05:30,101,2018-01-24 16:49:31.971005+05:30,t
180,151,103,101,2018-01-24 17:09:52.463528+05:30,101,2018-01-24 17:09:52.463528+05:30,t
182,152,103,101,2018-01-24 17:17:22.324363+05:30,101,2018-01-24 17:17:22.324363+05:30,t
179,151,102,101,2018-01-24 17:09:52.463528+05:30,101,2018-01-24 17:22:59.750119+05:30,t
181,152,101,101,2018-01-24 17:17:22.324363+05:30,101,2018-01-24 17:24:19.105714+05:30,t
149,131,101,101,2018-01-23 14:08:17.78154+05:30,101,2018-01-24 19:13:15.146436+05:30,t
184,153,103,101,2018-01-24 19:14:05.978237+05:30,101,2018-01-24 19:14:05.978237+05:30,t
186,155,101,101,2018-01-25 17:35:17.301369+05:30,101,2018-01-25 17:35:17.301369+05:30,f
187,155,103,101,2018-01-25 17:35:17.301369+05:30,101,2018-01-25 17:35:17.301369+05:30,t
166,141,101,101,2018-01-24 13:44:41.486156+05:30,101,2018-01-25 17:36:16.654549+05:30,t
188,156,101,101,2018-02-12 15:23:38.172772+05:30,101,2018-02-12 15:23:38.172772+05:30,f
189,156,103,101,2018-02-12 15:23:38.172772+05:30,101,2018-02-12 15:23:38.172772+05:30,t
191,157,103,101,2018-02-13 09:35:09.897421+05:30,101,2018-02-13 09:35:09.897421+05:30,t
192,158,101,101,2018-02-13 14:31:44.096726+05:30,101,2018-02-13 14:31:44.096726+05:30,f
183,153,101,101,2018-01-24 19:14:05.978237+05:30,101,2018-09-11 14:44:32.789427+05:30,t
